ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  202.724  202.724 AI.py:92(get_best_move)
 192692/1    0.117    0.000  202.722  202.722 AI.py:15(minimax_piece)
   3519/9    0.690    0.000  202.713   22.524 AI.py:54(minimax_tile)
   192691    0.623    0.000  195.563    0.001 nonaga_logic.py:225(move_tile_ai)
82492021/196211   69.896    0.000  173.837    0.001 copy.py:119(deepcopy)
7037208/196211   16.207    0.000  172.687    0.001 copy.py:248(_reconstruct)
6252364/196211   13.767    0.000  171.055    0.001 copy.py:218(_deepcopy_dict)
  1373477    5.891    0.000  137.697    0.000 copy.py:192(_deepcopy_list)
14074416/4814600    2.652    0.000  118.875    0.000 copy.py:253(<genexpr>)
   192693    0.151    0.000   23.996    0.000 nonaga_board.py:75(move_tile)
   192693    0.324    0.000   23.816    0.000 nonaga_board.py:110(move_tile)
   196221    3.968    0.000   23.071    0.000 nonaga_board.py:254(update_tiles)
160828440   18.676    0.000   18.676    0.000 {method 'get' of 'dict' objects}
 18350183    6.533    0.000   10.560    0.000 nonaga_board.py:349(__hash__)
112014331    9.300    0.000    9.300    0.000 {built-in method builtins.id}
 14663049    5.781    0.000    8.926    0.000 copy.py:232(_keep_alive)
  3175004    5.090    0.000    6.914    0.000 nonaga_board.py:207(_get_neighbors)
  7037208    3.931    0.000    5.660    0.000 {method '__reduce_ex__' of 'object' objects}
   811665    4.021    0.000    5.304    0.000 nonaga_board.py:227(_neighbors_restrain_piece)
 44860305    5.145    0.000    5.145    0.000 {method 'append' of 'list' objects}
 56831533    3.978    0.000    3.978    0.000 copy.py:173(_deepcopy_atomic)
  7595290    1.726    0.000    3.697    0.000 {method 'add' of 'set' objects}
     3519    0.015    0.000    3.513    0.001 nonaga_logic.py:235(move_piece_ai)
 30124258    2.866    0.000    2.866    0.000 nonaga_board.py:315(get_position)
  6056153    1.891    0.000    2.806    0.000 copyreg.py:98(__newobj__)
 18350183    2.279    0.000    2.279    0.000 {built-in method builtins.hash}
  2369789    1.457    0.000    2.216    0.000 nonaga_board.py:341(__eq__)
    22616    1.054    0.000    2.106    0.000 nonaga_logic.py:75(_get_valid_tile_positions)
 14079122    2.030    0.000    2.030    0.000 {built-in method builtins.getattr}
     3519    0.037    0.000    2.002    0.001 nonaga_logic.py:46(get_all_valid_tile_moves_ai)
 15493563    1.911    0.000    1.911    0.000 {built-in method builtins.isinstance}
  6056156    1.820    0.000    1.820    0.000 {method 'update' of 'dict' objects}
     4514    1.743    0.000    1.743    0.000 {method 'render' of 'pygame.font.Font' objects}
   981060    1.336    0.000    1.729    0.000 copyreg.py:107(_slotnames)
      117    1.705    0.015    1.705    0.015 {method 'tick' of 'pygame.time.Clock' objects}
   218837    0.798    0.000    1.106    0.000 nonaga_board.py:201(_get_tile_coords_set)
  7037400    1.045    0.000    1.045    0.000 {built-in method builtins.hasattr}
  6252374    0.985    0.000    0.985    0.000 {method 'items' of 'dict' objects}
  6056343    0.915    0.000    0.915    0.000 {built-in method __new__ of type object at 0x00007FF9DE2608A0}
  7037212    0.875    0.000    0.875    0.000 {built-in method builtins.issubclass}
     4163    0.833    0.000    0.833    0.000 {built-in method pygame.display.flip}
        3    0.789    0.263    0.791    0.264 {built-in method pygame.base.init}
   192119    0.093    0.000    0.764    0.000 AI.py:89(cost_function)
   160728    0.700    0.000    0.700    0.000 {built-in method pygame.draw.polygon}
   192119    0.101    0.000    0.670    0.000 random.py:336(randint)
5861754/5861726    0.644    0.000    0.644    0.000 {built-in method builtins.len}
   192119    0.233    0.000    0.569    0.000 random.py:295(randrange)
   238932    0.185    0.000    0.562    0.000 {method 'remove' of 'set' objects}
     3521    0.003    0.000    0.474    0.000 nonaga_board.py:69(move_piece)
     3521    0.006    0.000    0.471    0.000 nonaga_board.py:117(move_piece)
  4009285    0.463    0.000    0.463    0.000 nonaga_board.py:190(_get_neighbor_offsets)
        1    0.000    0.000    0.419    0.419 game_window.py:43(setup)
     4282    0.017    0.000    0.416    0.000 pkgdata.py:45(getResource)
  2548487    0.388    0.000    0.388    0.000 {method 'pop' of 'list' objects}
     4283    0.343    0.000    0.343    0.000 {built-in method _io.open}
     4164    0.323    0.000    0.323    0.000 {built-in method pygame.event.get}
     4045    0.006    0.000    0.259    0.000 game_window.py:106(handle_events)
   192119    0.171    0.000    0.254    0.000 random.py:245(_randbelow_with_getrandbits)
        2    0.232    0.116    0.232    0.116 {built-in method pygame.base.quit}
   981079    0.225    0.000    0.225    0.000 {method 'get' of 'mappingproxy' objects}
      117    0.046    0.000    0.221    0.002 menu_window.py:117(render)
     4163    0.219    0.000    0.219    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
   196222    0.196    0.000    0.215    0.000 {method 'union' of 'set' objects}
     4045    0.003    0.000    0.203    0.000 game_window.py:146(update_moves)
      348    0.004    0.000    0.160    0.000 nonaga_logic.py:61(get_all_valid_tile_moves)
   196214    0.093    0.000    0.131    0.000 nonaga_logic.py:245(_next_turn_phase)
        3    0.113    0.038    0.113    0.038 {built-in method pygame.display.set_mode}
      119    0.001    0.000    0.110    0.001 menu_window.py:91(handle_events)
    24987    0.019    0.000    0.107    0.000 game_window.py:248(_draw_circle)
     8090    0.016    0.000    0.099    0.000 game_window.py:82(update_game_state)
   108813    0.063    0.000    0.092    0.000 game_window.py:265(_axial_to_pixel)
    17328    0.058    0.000    0.087    0.000 nonaga_logic.py:257(check_win_condition)
     71/3    0.000    0.000    0.087    0.029 <frozen importlib._bootstrap>:1349(_find_and_load)
     71/3    0.000    0.000    0.087    0.029 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     66/3    0.000    0.000    0.086    0.029 <frozen importlib._bootstrap>:911(_load_unlocked)
     31/3    0.000    0.000    0.086    0.029 <frozen importlib._bootstrap_external>:1016(exec_module)
    167/6    0.000    0.000    0.085    0.014 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.084    0.084 game_window.py:1(<module>)
   576357    0.082    0.000    0.082    0.000 {built-in method _operator.index}
      351    0.001    0.000    0.077    0.000 menu_window.py:24(draw)
    18846    0.039    0.000    0.074    0.000 nonaga_logic.py:186(_get_valid_piece_moves_in_direction)
   196214    0.067    0.000    0.067    0.000 nonaga_board.py:325(set_position)
