             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           3989420       gpu dino6_vi  scssali PD       0:00      2 (Resources)
           3989419       gpu dino3_vi  scssali PD       0:00      1 (Priority)
           3989188       gpu     bash  scssali PD       0:00      1 (Priority)
           3991943       gpu    gpuBF     elhg PD       0:00      1 (Priority)
           3989477       gpu train_mo lmfx5605 PD       0:00      1 (Priority)
           3987151       gpu     char   scrmat PD       0:00      1 (Priority)
           3981365       gpu cryocare     bsmz PD       0:00      1 (QOSMaxGRESPerUser)
           3981364       gpu cryocare     bsmz PD       0:00      1 (QOSMaxGRESPerUser)
           3981363       gpu cryocare     bsmz PD       0:00      1 (QOSMaxGRESPerUser)
           3981362       gpu cryocare     bsmz PD       0:00      1 (QOSMaxGRESPerUser)
           3981361       gpu cryocare     bsmz PD       0:00      1 (QOSMaxGRESPerUser)
           3981360       gpu cryocare     bsmz PD       0:00      1 (QOSMaxGRESPerUser)
           3981359       gpu cryocare     bsmz PD       0:00      1 (QOSMaxGRESPerUser)
           3981358       gpu cryocare     bsmz PD       0:00      1 (QOSMaxGRESPerUser)
           3991669       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991668       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991666       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991667       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991665       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991664       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991663       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991662       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991661       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991660       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991659       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991657       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991658       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991656       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991654       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991655       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991653       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991652       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991651       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991650       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991649       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991648       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991647       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991646       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991645       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991644       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991643       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991641       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991642       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991640       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991639       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991638       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991637       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991636       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991635       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991634       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991632       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991633       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991631       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991630       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991629       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991628       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991627       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991626       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991625       gpu Mono_A24  py21atw PD       0:00      1 (Priority)
           3991624       gpu Mono_A20  py21atw PD       0:00      1 (Priority)
           3991720       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991719       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991718       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991717       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991716       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991715       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991714       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991713       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991712       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991711       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991710       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991709       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991708       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991707       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991706       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991705       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991704       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991703       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991702       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991701       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991700       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991699       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991698       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991697       gpu Mono_A36  py21atw PD       0:00      1 (Priority)
           3991696       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991695       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991694       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991693       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991692       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991691       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991690       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991689       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991688       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991687       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991686       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991685       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991684       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991683       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991682       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991681       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991680       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991679       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991678       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991677       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991676       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991675       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991674       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991673       gpu Mono_A32  py21atw PD       0:00      1 (Priority)
           3991672       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991671       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
           3991670       gpu Mono_A28  py21atw PD       0:00      1 (Priority)
       3991501_[4]       gpu  colabfo   bs22bm PD       0:00      1 (Priority)
           3989262       gpu      f5c    fbsev PD       0:00      1 (Priority)
     3989515_[0-3]       gpu stack_ar od21gjll PD       0:00      1 (Priority)
           3989695       gpu   binder  fbselee PD       0:00      1 (Priority)
           3989694       gpu   binder  fbselee PD       0:00      1 (Priority)
           3989693       gpu   binder  fbselee PD       0:00      1 (Priority)
           3962355       gpu     Jon4   cscdrm PD       0:00      1 (Dependency)
           3962354       gpu     Jon4   cscdrm PD       0:00      1 (Dependency)
           3962266       gpu   TReg14   cscdrm PD       0:00      1 (Dependency)
           3962212       gpu   TReg14   cscdrm PD       0:00      1 (Dependency)
           3962210       gpu   TReg14   cscdrm PD       0:00      1 (Dependency)
           3901464       gpu     Jon4   cscdrm PD       0:00      1 (Dependency)
           3989154       gpu pvserver     scab PD       0:00      1 (Priority)
           3991203       gpu     bash  sc22jt2  R      36:24      1 gpu026
           3991270       gpu train_ls hzfq0862  R      25:41      1 gpu007
           3991846       gpu     bash  sc22jt2  R      17:15      1 gpu024
           3991387       gpu     bash  sc22jt2  R      25:41      1 gpu020
           3989368       gpu artexber    scsjh  R    3:03:02      1 gpu012
