Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
0,3.0,0.4,-2.0,"[30, 92, 51, -61, 83, -19, 52, -83]","[52, 76, 58, -34, 57, -40, 77, -60]","[67, 96, -20, 82, -24, 19, 45, -60]","[-14, 88, 44, 72, 33, -17, -90, 18]","[-21, 37, 9, -96, 11, -21, -95, -84]"
1,3.0,0.1,-3.0,"[-7, 44, 18, -85, 20, -25, -63, -80]","[53, 40, -80, -39, 53, -71, -2, -60]","[54, 95, -10, 80, -15, 13, 24, -48]","[44, 66, 59, -29, 53, -37, 71, -56]","[8, 52, 28, -72, 29, -28, -28, -75]"
2,3.0,0.7,-3.0,"[2, 54, 43, 55, -2, -14, -29, -32]","[36, 79, 5, 22, 2, -3, 4, -58]","[43, 63, -21, -49, 66, -48, 22, -70]","[23, 61, 39, -57, 39, -33, 10, -69]","[54, 95, -10, 79, -15, 13, 24, -48]"
3,3.0,0.3,-3.0,"[2, 54, 43, 55, -2, -14, -29, -32]","[45, 27, -9, -5, 40, -54, 27, -24]","[-13, 56, 30, 45, 28, 10, -62, 0]","[23, 61, 39, -57, 39, -33, 10, -69]","[-9, 43, 28, -8, 5, -12, -56, -51]"
4,3.0,0.65,-3.0,"[47, 41, -9, 13, 28, -40, 26, -29]","[47, 43, -9, 15, 27, -38, 26, -29]","[42, 58, 5, 7, 22, -27, 21, -44]","[-1, 50, 48, 19, 18, -24, -61, -14]","[2, 54, 43, 55, -2, -14, -29, -32]"
5,3.0,1.0,-3.0,"[47, 41, -9, 13, 28, -40, 26, -29]","[21, 54, 45, -30, 26, -42, -15, -51]","[36, 45, -88, 16, -82, -43, 81, -25]","[26, 48, -27, 71, 20, 21, -41, -18]","[41, 58, 7, 4, 23, -27, 20, -45]"
6,3.0,1.2,-3.0,"[47, 41, -9, 13, 28, -40, 26, -29]","[6, 53, 39, 52, 0, -16, -25, -32]","[40, 56, 7, 3, 23, -30, 17, -43]","[46, 43, -6, 12, 27, -39, 25, -31]","[4, 54, 42, 53, -1, -15, -27, -33]"
7,3.0,0.65,-3.0,"[9, 54, 44, 16, 11, -26, -23, -41]","[40, 46, 7, 2, 27, -40, 15, -36]","[24, 27, 26, 15, -34, -25, 26, 4]","[32, 45, 8, 27, 18, -32, 8, -30]","[18, 55, 39, 2, 17, -31, -14, -44]"
8,3.0,0.15,-3.0,"[26, 31, 22, 17, -23, -26, 22, -3]","[-52, 46, 35, 8, -59, -29, -22, -29]","[30, 48, 19, 6, 24, -34, 5, -38]","[31, 56, 17, 7, 20, -28, 6, -42]","[55, 72, -22, -16, 23, -54, 26, -42]"
9,3.0,1.0,-3.0,"[26, 31, 22, 17, -23, -26, 22, -3]","[33, 44, 16, 6, 10, -33, 14, -28]","[28, 41, 22, 8, -1, -31, 14, -22]","[46, 55, -8, 4, 24, -41, 22, -36]","[-3, 52, 42, 14, -3, -27, -23, -39]"
0,3.0,0.75,-2.0,"[-32, 29, 69, -13, -21, -95, -85, -45]","[-68, -15, 11, -100, 19, -99, 62, -88]","[-85, 87, -35, -89, -56, -90, -1, 75]","[-68, 79, -15, -47, 45, -14, -56, -16]","[-49, 35, 90, 89, -59, 89, -56, 5]"
1,3.0,1.05,-3.0,"[-77, 36, -12, -94, -19, -94, 30, -6]","[-5, 5, 2, 88, -51, -27, -41, 77]","[14, 33, 64, 74, -83, -76, 0, -19]","[-63, -25, 53, 23, 62, -83, -36, -56]","[-47, 34, 88, 77, -54, 67, -59, -1]"
2,3.0,0.3,-2.0,"[24, 32, 51, 63, -56, -35, -38, 3]","[-5, 5, 2, 88, -51, -27, -41, 77]","[-81, 31, 45, 45, -70, -65, 7, -86]","[7, 30, 61, 62, -73, -77, 4, -22]","[-60, 34, 5, -54, -34, -86, 24, -7]"
3,3.0,0.3,-3.0,"[-32, 8, 23, 63, -49, -34, -13, -50]","[-75, 35, -12, -89, -20, -92, 28, -4]","[-5, 5, 2, 88, -51, -27, -41, 77]","[-24, 12, 13, 77, -56, -37, -29, 36]","[13, 22, 33, 72, -54, -32, -39, 31]"
4,3.0,-1.4,-3.0,"[-69, 32, -11, -74, -23, -86, 22, 3]","[-32, 8, 23, 63, -49, -34, -13, -50]","[5, 6, 26, 70, -42, -25, -29, 0]","[2, 19, 27, 73, -55, -33, -36, 32]","[-26, -3, 17, 76, -45, -35, -19, 44]"
5,3.0,-0.8,-3.0,"[64, 20, 2, 12, -28, -58, 78, 23]","[-69, 32, -11, -74, -23, -86, 22, 3]","[-43, -9, 29, 65, -40, -40, -3, 18]","[-34, -7, 30, 65, -40, -38, -7, 11]","[-31, 8, 18, 63, -50, -30, -12, -49]"
6,3.0,0.35,-3.0,"[-26, -4, 29, 66, -40, -35, -12, 9]","[64, 32, 23, 30, -34, -49, 59, -7]","[-49, 23, -1, -8, -37, -64, -1, 19]","[64, 20, 2, 12, -28, -58, 78, 23]","[64, 20, 2, 12, -28, -58, 78, 23]"
7,3.0,0.1,-3.0,"[35, 21, 21, 17, -18, -27, 41, -4]","[-23, 23, -1, 1, -33, -43, 9, 17]","[64, 20, 2, 12, -28, -58, 78, 23]","[-41, 12, 7, 25, -40, -53, -7, 27]","[64, 20, 2, 12, -28, -58, 78, 23]"
8,2.0,0.15,-3.0,"[64, 20, 2, 12, -28, -58, 78, 23]","[63, 20, 2, 12, -28, -58, 77, 23]","[48, 21, 12, 15, -22, -41, 58, 8]","[31, 17, 4, 16, -32, -56, 51, 24]","[40, 21, 18, 16, -20, -32, 47, 1]"
9,2.0,0.25,-3.0,"[64, 20, 2, 12, -28, -58, 78, 23]","[40, 18, 7, 96, -36, -80, 55, -45]","[42, 19, 8, 15, -27, -49, 57, 17]","[41, 21, 10, 14, -23, -42, 54, 9]","[-20, 23, -1, 1, -33, -43, 11, 17]"
